Year,Production,Imports USA [t],Exports USA [t],Apparent consumption [t],Unit value [$/t],Unit value (98$/t),World production [t]
1900,227,17300.0,5870.0,227,8.0,8910.0,1040
1901,187,2110.0,41.0,187,26.0,0.0,1090
1902,200,3390.0,9100.0,200,37.0,10300.0,863
1903,215,2790.0,41.0,215,0.0,29.0,2030
1904,186,8.0,906.0,186,0.0,412.0,2860
1905,335,499.0,34.0,335,9.0,13.0,2780
1906,211,1070.0,2900.0,211,8990.0,7100.0,2600
1907,137,1050.0,78.0,137,0.0,319.0,2580
1908,105,0.0,1770.0,105,20000.0,300.0,2840
1909,135,1.0,10300.0,135,15.0,0.0,3690
1910,25,0,200.0,10.0,25,0,16200.0
1911,5000.0,18500.0,5.0,22,0,3350.0,2740.0
1912,0.0,11400.0,263.0,19,0,24000.0,79700.0
1913,20400.0,0.0,31.0,15,0,5450.0,74300.0
1914,15400.0,31.0,11800.0,12,0,600.0,25600.0
1915,9,00,7310.0,2.0,9,00,311.0
1916,9,00,29500.0,22.0,9,00,101000.0
1917,25,0,3.0,24000.0,25,0,43500.0
1918,200.0,14200.0,7.0,20,0,4160.0,60700.0
1919,499.0,1.0,29500.0,15,0,8780.0,102000.0
1920,17800.0,12.0,9750.0,9,99,7200.0,451.0
1921,15000.0,9900.0,5360.0,5,00,17.0,5050.0
1922,17800.0,0,017,5500.0,0,017,2450
1923,1030.0,13,6,27800.0,13,6,344
1924,16500.0,37,2,10100.0,37,2,219
1925,0,499,6,74,12.0,7,24
1926,215.0,3,53,211.0,3,53,311
1927,14000.0,26,4,9340.0,26,4,237
1928,9110.0,31,4,18100.0,31,4,451
1929,137.0,41,7,15.0,41,7,412
1930,10300.0,27,1,135.0,27,1,601
1931,14100.0,0,120,10800.0,0,120,367
1932,0.0,3810.0,3.0,0,069,5930,70600
1933,20700.0,0,018,17800.0,0,018,11600
1934,12200.0,12100.0,2.0,0,015,11700,142000
1935,215.0,471.0,4540.0,0,012,11700,139000
1936,25300.0,0,009,50.0,0,009,11700
1937,200.0,652,11800.0,652,4,41,2150
1938,0.0,377,9.0,377,3,38,3310
1939,0.0,471,1420.0,471,3,29,2510
1940,22700.0,0,200,22.0,0,200,8480
1941,278.0,8,13,6060.0,8,13,11200
1942,20400.0,4,66,10,5,6,19
1943,16500.0,2,34,22,1,4,25
1944,14000.0,8,18,16,9,2,31
1945,16000.0,13,3,13,0,0,365
1946,0.0,6,31,16,0,83,2
1947,11100.0,0,268,73,4,200,14400
1948,20,0,0,644,22,2,200
1949,16500.0,1,43,28,2,300,8900
1950,383,54,2,22,3,400,3540
1951,747,172,8470.0,900,1670,10400,1240
1952,1110,5520.0,53.0,1000,3910,24000,1820
1953,615,1,70,50,1,600,7090
1954,983,4,78,19,3,2270,8630
1955,608,12,5,14,9,2450,6720
1956,9110.0,27,8,19,5,2720,5070
1957,499,44,3,8,58,2720,1920
1958,625,20,6,19,4,2450,5100
1959,600,6,7,18,5,2270,5050
1960,1050,17,9,19,5,2040,3540
1961,1030,1450,11,8,2460,82,446
1962,0.0,3840,17,5,2110,341,1840
1963,278,3220,86,2,2810,319,1700
