material,quantity,year
chromium,0,2020
chromium,0,2030
chromium,0,2040
copper,345.970741474295,2020
copper,926.757199658706,2030
copper,989.133300264058,2040
manganese,0,2020
manganese,0,2030
manganese,0,2040
molybdenum,0.0693070375454711,2020
molybdenum,0.205909020540613,2030
molybdenum,0.205862156866958,2040
nickel,0.13223636931937,2020
nickel,0.338091637720905,2030
nickel,0.367353760622486,2040
rare earths,0,2020
rare earths,0,2030
rare earths,0,2040
silicon,389.973399039861,2020
silicon,809.755680882578,2030
silicon,807.52621360727,2040
silver,1.96246293450288,2020
silver,3.61509228390394,2030
silver,2.3269219264467,2040
zinc,3.17439263258457,2020
zinc,8.1711354056072,2030
zinc,8.96102741398981,2040
