material,quantity,year
chromium,28.7319414914131,2020
chromium,69.5282949329592,2030
chromium,74.8941620257648,2040
copper,216.763814386163,2020
copper,577.142811575367,2030
copper,609.788127985136,2040
manganese,45.7816933027267,2020
manganese,109.903658739601,2030
manganese,117.441749688572,2040
molybdenum,6.01497076091766,2020
molybdenum,14.538374718703,2030
molybdenum,15.6419724322891,2040
nickel,21.0488127870035,2020
nickel,49.2025108130032,2030
nickel,52.3360157516609,2040
rare earths,4.10831587764743,2020
rare earths,11.2685069952023,2030
rare earths,11.944974239786,2040
silicon,0,2020
silicon,0,2030
silicon,0,2040
silver,0,2020
silver,0,2030
silver,0,2040
zinc,321.170299530029,2020
zinc,770.204202811949,2030
zinc,822.171475638112,2040
