material,quantity,year
chromium,28.7319414914131,2020
chromium,42.9743917020798,2030
chromium,53.2804714675903,2040
copper,216.763814386163,2020
copper,386.662735984338,2030
copper,414.719346411477,2040
manganese,45.7816933027267,2020
manganese,67.3958042896271,2030
manganese,83.7522969696045,2040
molybdenum,6.01497076091766,2020
molybdenum,8.97553616981506,2030
molybdenum,11.131818637085,2040
nickel,21.0488127870035,2020
nickel,29.3291213123798,2030
nickel,37.7303331954956,2040
rare earths,4.10831587764743,2020
rare earths,8.11136486822983,2030
rare earths,8.08575437612817,2040
silicon,0,2020
silicon,0,2030
silicon,0,2040
silver,0,2020
silver,0,2030
silver,0,2040
zinc,321.170299530029,2020
zinc,471.823017120361,2030
zinc,586.509002685546,2040
